source,row_id,paper_id_dd,doi,overlap_flag,emission_nm,T_growth_C,time_min,FWHM_nm,QY_percent,PL_peak_nm_core,route,system_tag,shell_present_flag,data_quality_tier,measurement_state,caution_count,abs_nm,diameter_nm,in_source,in_amount_mmol,p_source,p_amount_mmol,ligand_source,ligand_amount_mmol,first_sol,second_sol,acid,acid_amount_mmol,total_volume_ml
cossairt,cos_raw_row_165,,10.1038/s41586-019-1771-5,1,None,260,20,,,,,,,,,,495,None,indium acetate,4,tris(trimethylsilyl)phosphine,2,None,0,octadecene,trioctylphosphine,palmitic acid,12,110
cossairt,cos_raw_row_166,,10.1016/j.jlumin.2020.117297,0,None,220,0.5,,,,,,,,,,None,2.1,indium chloride,0.9,tris(dimethylamino)phosphine,1.4,oleylamine,15.2,None,None,None,0,5.002
cossairt,cos_raw_row_167,,10.1016/j.jlumin.2020.117297,0,None,220,10,,,,,,,,,,None,3,indium chloride,0.9,tris(dimethylamino)phosphine,1.4,oleylamine,15.2,None,None,None,0,5.002
cossairt,cos_raw_row_168,,10.1021/acsenergylett.0c02165,0,None,310,10,,,,,,,,,,None,3.2,indium acetate,0.34,tris(trimethylsilyl)phosphine,0.23,None,0,octadecene,None,oleic acid,1,9
cossairt,cos_raw_row_169,,10.1021/acsanm.0c00008,1,None,180,2,,,,,,,,,,485,None,indium iodide,0.9,tris(dimethylamino)phosphine,1.3,oleylamine,6,None,None,None,0,1.975
cossairt,cos_raw_row_170,,10.1002/adom.201901362,0,485,280,60,,,,,,,,,,423,2.3,indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,trioctylphosphine,None,None,0,5
cossairt,cos_raw_row_171,,10.1016/j.jcis.2020.03.110,0,560,180,30,,,,,,,,,,490,3,indium chloride,0.5,tris(dimethylamino)phosphine,2.75,oleylamine,6.15,None,None,None,0,2.024
cossairt,cos_raw_row_172,,10.1016/j.jiec.2019.10.021,0,507,300,10,,,,,,,,,,455,None,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,None,oleic acid,0.91,6.75
cossairt,cos_raw_row_173,,10.1016/j.jiec.2019.10.021,0,518,300,10,,,,,,,,,,460,None,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,None,oleic acid,0.268,6.75
cossairt,cos_raw_row_174,,10.1016/j.jiec.2019.10.021,0,522,300,10,,,,,,,,,,457,None,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,None,oleic acid,0.288,6.75
cossairt,cos_raw_row_175,,10.1016/j.jiec.2019.10.021,0,525,300,10,,,,,,,,,,456,None,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,None,oleic acid,0.308,6.75
cossairt,cos_raw_row_176,,10.1016/j.jiec.2019.10.021,0,530,300,10,,,,,,,,,,470,None,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,None,oleic acid,0.248,6.75
cossairt,cos_raw_row_177,,10.1021/acs.chemmater.0c00781,0,None,180,3,,,,,,,,,,490,None,indium chloride,0.45,tris(diethylamino)phosphine,0,oleylamine,15,None,None,None,0,4.936
cossairt,cos_raw_row_178,,10.1002/cctc.202000616,0,None,180,30,,,,,,,,,,575,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,15.19,toluene,None,None,0,7.998
cossairt,cos_raw_row_179,,10.1021/acs.chemmater.0c00781,0,None,180,120,,,,,,,,,,550,2.5,indium chloride,0.45,tris(diethylamino)phosphine,0,oleylamine,15,None,None,None,0,4.936
cossairt,cos_raw_row_180,,10.1021/acs.chemmater.0c00551,1,None,180,3,,,,,,,,,,480,1.7,indium iodide,0.45,tris(dimethylamino)phosphine,1,oleylamine,3.7,None,None,None,0,1.218
cossairt,cos_raw_row_181,,10.1063/1.4745844,0,590,200,30,,,,,,,,,,460,2.1,indium acetate,0.08,tris(trimethylsilyl)phosphine,0.08,octylamine,0.38,octadecene,None,myristic acid,0.26,7.063
cossairt,cos_raw_row_182,,10.1364/ome.4.001436,0,539,300,30,,,,,,,,,,480,None,indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,None,None,None,0,0.12
cossairt,cos_raw_row_183,,10.1002/jsid.308,0,500,180,60,,,,,,,,,,None,None,indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,None,None,0,1.12
cossairt,cos_raw_row_184,,10.1002/jsid.308,0,520,180,120,,,,,,,,,,None,None,indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,None,None,0,1.12
cossairt,cos_raw_row_185,,10.1002/jsid.308,0,538,180,240,,,,,,,,,,None,None,indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,None,None,0,1.12
cossairt,cos_raw_row_186,,10.1002/jsid.308,0,540,200,75,,,,,,,,,,None,None,indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,None,None,0,1.12
cossairt,cos_raw_row_187,,10.1002/jsid.308,0,590,280,30,,,,,,,,,,None,None,indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,None,None,0,1.12
cossairt,cos_raw_row_188,,10.1002/jsid.308,0,600,280,120,,,,,,,,,,None,None,indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,None,None,0,1.12
cossairt,cos_raw_row_189,,10.1021/acs.chemmater.8b02590,0,579,285,20,,,,,,,,,,530,2.4,indium acetate,4,tris(trimethylsilyl)phosphine,2,None,0,octadecene,None,myristic acid,14.5,17
cossairt,cos_raw_row_190,,10.1021/acsnano.8b06692,1,None,280,20,,,,,,,,,,580,2.5,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,trioctylphosphine,palmitic acid,0.6,10.5
cossairt,cos_raw_row_191,,10.1021/acs.chemmater.8b02590,0,618,180,20,,,,,,,,,,573,2.9,indium chloride,0.23,tris(diethylamino)phosphine,0.8,oleylamine,7.5,None,None,None,0,2.468
cossairt,cos_raw_row_192,,10.3389/fnins.2021.652608,0,645,230,20,,,,,,,,,,555,3.2,indium chloride,0.1,tris(trimethylsilyl)phosphine,0.2,hexadecylamine,0.2,octadecene,None,stearic acid,0.01,6.052
cossairt,cos_raw_row_193,,10.1021/acsnano.8b06692,1,615,280,20,,,,,,,,,,584,3.26,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,trioctylphosphine,palmitic acid,0.6,10.5
cossairt,cos_raw_row_194,,10.1039/c8nr01286e,0,470,150,30,,,,,,,,,,405,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,9,octadecene,None,myristic acid,0.45,13.962
