doi,in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm,date_input,user
10.1021/cm401289j,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,None,0,7.6,285,8,None,537,None,6/26/2021,Hao
10.1021/cm401289j,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,None,0,None,0,None,0,None,0,tetrabutylammonium myristate,0.24,7.6,285,8,None,545,None,6/26/2021,Hao
10.1021/cm7035579,indium acetate,0.1,phosphine gas,0.3,octadecene,8.62,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,8.62,290,30,None,631,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,0.2,None,498,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,0.2,None,476,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,0.2,None,491,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,1,None,530,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,1,None,497,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,1,None,522,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,10,None,509,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,10,None,613,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,20,None,590,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,30,None,518,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,60,None,625,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,60,None,520,None,6/25/2021,Hao
10.1021/ja104673y,indium acetate,0.7,tris(trimethylsilyl)phosphine,0.35,octadecene,40,None,0,palmitic acid,2.1,None,0,None,0,None,0,None,0,40,270,180,2.7,532,591,6/25/2021,Hao
